Títol,Autor,Prestatge,Posicio,Habitacio,Tipus,Editorial,Idioma,Notes,
Lituma en los Andes,Mario Vargas Llosa,5,2,Despatx,Novel·la,Planeta,Castellà,,
Don Juan Tenorio,José Zorrilla,5,2,Despatx,Poesia,Vicens Vives,Castellà,,
La Sombra del Caudillo,Martín Luis Guzmán,5,2,Despatx,Novel·la,Porrúa,Castellà,,
Poesías Completas,Jorge Manrique,5,2,Despatx,Poesia,Austral,Castellà,,
El Matadero,Esteban Echeverría,5,2,Despatx,Novel·la,Cátedra,Castellà,,
La Cautiva,Esteban Echeverría,5,2,Despatx,Poesia,Cátedra,Castellà,,
Don Catrín de la Fachenda,José Joaquín Fernández de Lizardi,5,2,Despatx,Novel·la,Porrúa,Castellà,,
L'Assemblea de les Dones,Aristòfanes,5,2,Despatx,Teatre,Ediciones clásicas,Català,,
Els verbs Catalans conjugats,Joan Baptista Xuriguera,5,2,Despatx,Diccionari,Editorial Claret,Català,,
Martín Rivas,Alberto Blest Gana,5,2,Despatx,Novel·la,Cátedra,Castellà,,
Prosas profanas y otros poemas,Rubén Darío,5,2,Despatx,Poesia,Austral,Castellà,,
Ismaelillo,José Martí,5,2,Despatx,Poesia,Cátedra,Castellà,,
Versos Libres,José Martí,5,2,Despatx,Poesia,Cátedra,Castellà,,
Versos sencillos,José Martí,5,2,Despatx,Poesia,Cátedra,Castellà,,
Martín Fierro,José Hernández,5,2,Despatx,Poesia,Cátedra,Castellà,,
Cumandá,Juan León Mera,5,2,Despatx,Novel·la,Cátedra,Castellà,,
Los versos del Capitán,Pablo Neruda,5,2,Despatx,Poesia,Losada,Castellà,,
El Aleph,Jorge Luis Borges,5,2,Despatx,Novel·la,Cátedra,Castellà,,
El Astillero,Juan Carlos Onetti,5,2,Despatx,Novel·la,Cátedra,Castellà,,
Sobre héroes y tumbas,Ernesto Sábato,5,2,Despatx,Novel·la,Seix Barral,Castellà,,
Pedro Páramo,Juan Rulfo,5,2,Despatx,Novel·la,Cátedra,Castellà,,
El reino de este mundo,Alejo Carpentier,5,2,Despatx,Novel·la,Alianza Editorial,Castellà,,
Posía de Cancionero,Recopilació ,5,2,Despatx,Poesia,Cátedra,Castellà,,
Doña Bárbara,Rómulo Gallegos,5,2,Despatx,Novel·la,Cátedra,Castellà,,
Azul,Rubén Darío,5,2,Despatx,Novel·la,Cátedra,Castellà,,
Cantos de vida y esperanza,Rubén Darío,5,2,Despatx,Poesia,Cátedra,Castellà,,
Hijo del Hombre,Augusto Roa Bastos,5,2,Despatx,Novel·la,Losada,Castellà,,
Poemas en prosa,César Vallejo,5,2,Despatx,Novel·la,Cátedra,Castellà,,
Poemas humanos,César Vallejo,5,2,Despatx,Poesia,Cátedra,Castellà,,
"España, Aparta de mí este cáliz",César Vallejo,5,2,Despatx,Poesia,Cátedra,Castellà,,
El gran teatro del mundo,Calderón de la Barca,5,2,Despatx,Teatre,Cátedra,Castellà,,
El gran mercado del mundo,Calderón de la Barca,5,2,Despatx,Teatre,Cátedra,Castellà,,
El Caballero de Olmedo,Lope de Vega,5,2,Despatx,Teatre,Cátedra,Castellà,,
El médico de su honra,Calderón de la Barca,5,2,Despatx,Teatre,Clasicos Castalia,Castellà,,
